username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
julesjumari;2015-09-08 03:15;31600;16652;"My parents told me that they have wanted to go for Umrah since I was a kid. Surprise, Mak & Ayah! #umrah #surprise";;;#umrah #surprise;"641193122425270272";https://twitter.com/julesjumari/status/641193122425270272
thiskid247;2015-09-09 16:59;0;1;"I'm late to class #shocker";;;#shocker;"641762833357795328";https://twitter.com/thiskid247/status/641762833357795328
polarisfm;2015-09-09 16:57;0;0;"#NP Drag Me Down - One Direction #WakeUpCall";;;#NP #WakeUpCall;"641762460119109632";https://twitter.com/polarisfm/status/641762460119109632
DavidIRamadan;2015-09-09 16:57;3;5;"So I dropped in on my friend @BillStanley , @SenTedCruz Chair, in my full #Walker16 attire 😜 ‼️ @ScottWalker #shocked ?";;@BillStanley @SenTedCruz @ScottWalker;#Walker16 #shocked;"641762450916904965";https://twitter.com/DavidIRamadan/status/641762450916904965
Developaws;2015-09-09 16:57;0;0;"@Eyamaz Oh just because you watched Hannah Montana last night, you thought you'd do work? damn... @ZeldoKavira #shocked";;@Eyamaz @ZeldoKavira;#shocked;"641762408088870912";https://twitter.com/Developaws/status/641762408088870912
DaOriginalJ;2015-09-09 16:53;0;0;"I just had milk in my cereal....MILK This day shall live in infamy. #Shocker 😮";;;#Shocker;"641761401816481792";https://twitter.com/DaOriginalJ/status/641761401816481792
megan7794;2015-09-09 16:51;0;0;"When @TabsAhoy follows you on Twitter .. 🙌🏻 #wow #shocked #love you";;@TabsAhoy;#wow #shocked #love;"641760876530434048";https://twitter.com/megan7794/status/641760876530434048
WhitneyAlyse;2015-09-10 16:58;0;0;"I'm so hungry and I don't wanna cook ... but I don't feel like going to get anything ... #shocker #storyofmylife #ishouldbeskinny";;;#shocker #storyofmylife #ishouldbeskinny;"642125079502004224";https://twitter.com/WhitneyAlyse/status/642125079502004224
thestartupchick;2015-09-10 16:57;4;7;"Goodbye business plan, hello action! @davidmadie teaching @ASBDC advisors to use @GrowthWheel . #eyeopener #2015SBDC";;@davidmadie @ASBDC @GrowthWheel;#eyeopener #2015SBDC;"642124786613616644";https://twitter.com/thestartupchick/status/642124786613616644
CaptainJSSG;2015-09-10 16:57;0;0;"#Surprise #shehitme #shewasntready https://vine.co/v/eFBYudZqmH1";;;#Surprise #shehitme #shewasntready;"642124656242257920";https://twitter.com/CaptainJSSG/status/642124656242257920
GoodnessMeBox;2015-09-10 16:53;0;1;"We've been hard at work putting together something very exciting and tasty. #somethingnew #goodnessmebox #surprise";;;#somethingnew #goodnessmebox #surprise;"642123713639350272";https://twitter.com/GoodnessMeBox/status/642123713639350272
EvanBirchfield;2015-09-10 16:50;0;0;"Says a Tampa citizen #shocker https://twitter.com/connorakeman/status/642122852687302656";Daytona Beach, FL;;#shocker;"642123034384592897";https://twitter.com/EvanBirchfield/status/642123034384592897
MsLindaCraig;2015-09-10 16:50;0;0;"Loving the Pink #Bombshell #ColourSplash 💟 🐷 🍇 🎀";;;#Bombshell #ColourSplash;"642122894844170240";https://twitter.com/MsLindaCraig/status/642122894844170240
stylem8ker;2015-09-10 16:49;0;0;"#nofilter #dinerenblancboston #whitepartyready #surprise https://instagram.com/p/7eBga5x-BV/";;;#nofilter #dinerenblancboston #whitepartyready #surprise;"642122801252536320";https://twitter.com/stylem8ker/status/642122801252536320
polarisfm;2015-09-10 16:49;0;1;"#NP Wow!! - Ran #WakeUpCall";;;#NP #WakeUpCall;"642122796538068992";https://twitter.com/polarisfm/status/642122796538068992
SarahGopaul;2015-09-11 16:59;0;0;"A great week for horror! #NewonDVD #Shocker #CrystalLakeMemories #BrokenHorses #Extinction http://buff.ly/1MgYrb8 @digitaljournal";;@digitaljournal;#NewonDVD #Shocker #CrystalLakeMemories #BrokenHorses #Extinction;"642487547499782144";https://twitter.com/SarahGopaul/status/642487547499782144
AndreaAmrein7;2015-09-11 16:57;0;0;"#surprise #513 !! 🎉 😆 #home !!! (for the wknd anyway!) https://instagram.com/p/7gnM78mnyZ/";;;#surprise #513 #home;"642487169400066048";https://twitter.com/AndreaAmrein7/status/642487169400066048
aliceinwonder97;2015-09-11 16:54;0;0;"Love these guys, thank you for the surprise meal ❤ #birthday #surprise @Prezzo https://instagram.com/p/7gmyx1oKKJ/";Colchester, England;@Prezzo;#birthday #surprise;"642486290110390273";https://twitter.com/aliceinwonder97/status/642486290110390273
johnheyes;2015-09-11 16:53;0;0;"@redbaron_93 How many people called Ali on twitter but you manage to get it as your screen name. john was already taken #shock";;@redbaron_93;#shock;"642486248788111360";https://twitter.com/johnheyes/status/642486248788111360
DeceitinDrugs;2015-09-11 16:46;0;0;"#APD says 'Knowledge = actions = results' Help curb gang violence in your community. #Abbotsford #wakeupcall";;;#APD #Abbotsford #wakeupcall;"642484409552121856";https://twitter.com/DeceitinDrugs/status/642484409552121856
niallslauvgh;2015-09-11 16:46;0;0;"#shocked";;;#shocked;"642484272625000449";https://twitter.com/niallslauvgh/status/642484272625000449
laurakyle;2015-09-11 16:42;0;0;"Alyssa's 20!! #birthday #surprise #halifax #birthdaybabe https://instagram.com/p/7gliJllqYk/";;;#birthday #surprise #halifax #birthdaybabe;"642483502408142848";https://twitter.com/laurakyle/status/642483502408142848
CoralSeaVintage;2015-09-12 16:59;0;0;"https://www.etsy.com/listing/247727183/50s-shaheen-dress-vintage-1950s-alfred #Bombshell (cont) http://tl.gd/nksbnp";;;#Bombshell;"642850119235145728";https://twitter.com/CoralSeaVintage/status/642850119235145728
hennyhere;2015-09-12 16:59;0;0;"#believe #God #surprise When we pray God hears more than we say, answers more than we ask, gives… https://instagram.com/p/7iYwoiules/";;;#believe #God #surprise;"642850086247112704";https://twitter.com/hennyhere/status/642850086247112704
DerekDellinger;2015-09-12 16:59;0;1;"#flabbergasted";;;#flabbergasted;"642850071508156416";https://twitter.com/DerekDellinger/status/642850071508156416
j_i_n_g_l_i_s;2015-09-12 16:57;0;0;"When you've only got one space left on a shelf for a statue, who can walk past a #bombshell ? This… https://instagram.com/p/7jMBHJG1Ui/";;;#bombshell;"642849600727027712";https://twitter.com/j_i_n_g_l_i_s/status/642849600727027712
iroasaran;2015-09-12 16:55;0;0;"To my #surprise ! I posted 6 days ago that I picked up #fallen #petals & I put into plate only with… https://instagram.com/p/7jLuGJkvCD/";;;#surprise #fallen #petals;"642848958226788352";https://twitter.com/iroasaran/status/642848958226788352
CowdenbeathNews;2015-09-12 16:52;0;0;"News+ | #Surprise |League One round-up: AYR United nudged early pacesetters Dunfermline Athletic off the top o... http://bit.ly/1K48evm";;;#Surprise;"642848168481153024";https://twitter.com/CowdenbeathNews/status/642848168481153024
Scotland4me;2015-09-12 16:52;0;0;"News+ | #Surprise |League One round-up: AYR United nudged early pacesetters Dunfermline Athletic off the top o... http://bit.ly/1K48evm";;;#Surprise;"642848162353254400";https://twitter.com/Scotland4me/status/642848162353254400
JinaduOladimeji;2015-09-12 16:48;0;1;"Politics in the United Kingdom is that of fear and scaremongering #astonishing #labourleadership https://twitter.com/_a_y/status/642835953200066561";;;#astonishing #labourleadership;"642847383940919296";https://twitter.com/JinaduOladimeji/status/642847383940919296
StaceyinSpacey;2015-09-12 16:47;0;0;"I don't think they know it's a short week yet #surprise #bb17";;;#surprise #bb17;"642847085788696576";https://twitter.com/StaceyinSpacey/status/642847085788696576
RSMMIXTAPES;2015-09-13 16:59;1;1;"#WorldPremier @DJSmallz #EyeOpener ' #artisttowatch WITH @OJTIAGO #ImThePlug " https://youtu.be/Ilg5pd6WPXs @djsmallzeyes #RSMWORLDWIDE";;@DJSmallz @OJTIAGO @djsmallzeyes;#WorldPremier #EyeOpener #artisttowatch #ImThePlug #RSMWORLDWIDE;"643212491179229184";https://twitter.com/RSMMIXTAPES/status/643212491179229184
AngelinaSieber;2015-09-13 16:58;0;0;"If someone shouts your name in the middle of New York City you know #followloop is in town #surprised #meeting @AMCornely";;@AMCornely;#followloop #surprised #meeting;"643212261801226240";https://twitter.com/AngelinaSieber/status/643212261801226240
letlive92;2015-09-13 16:55;0;1;"@ErmahgerdSam93 is singing usher right meow #shocked";;@ErmahgerdSam93;#shocked;"643211545699192832";https://twitter.com/letlive92/status/643211545699192832
Glittergods;2015-09-13 16:55;0;0;"Send Your Friends Glitter #allamerican #usa #glitterbomb #giftideas #surprise #sparkle #starspangle #football #fun";;;#allamerican #usa #glitterbomb #giftideas #surprise #sparkle #starspangle #football #fun;"643211436689354752";https://twitter.com/Glittergods/status/643211436689354752
xo_Amiaaa;2015-09-13 16:55;0;0;"lol I gone sleep so late, & was still wide awake in church. #surprising";;;#surprising;"643211399468965888";https://twitter.com/xo_Amiaaa/status/643211399468965888
EveJ_ung;2015-09-13 16:54;0;0;"A body of a man was found inside a refrigerator Sunday morning in Los Angeles. The investigation is ongoing. #surprising #not #vmacsA";;;#surprising #not #vmacsA;"643211202009677824";https://twitter.com/EveJ_ung/status/643211202009677824
isragvazz;2015-09-13 16:53;0;0;"Another shot from the #esencia project, by @funkycolector #alpha #wakeupcall #lake #canoe https://instagram.com/p/7lwSKZjllH/";;@funkycolector;#esencia #alpha #wakeupcall #lake #canoe;"643210827881934849";https://twitter.com/isragvazz/status/643210827881934849
Glittergods;2015-09-13 16:51;0;0;"Novelty statement #glitter #novelty #gift #joke #glitterbomb #surprise #celebrations #pride #bff #love #messages";;;#glitter #novelty #gift #joke #glitterbomb #surprise #celebrations #pride #bff #love #messages;"643210374293098497";https://twitter.com/Glittergods/status/643210374293098497
cswildfeuer;2015-09-13 16:49;0;1;"When did we get a new Community pastor?No introduction at 630 @crosspoint_tv it was a big surprise at 630 when Jordan walked out. #surprise";;@crosspoint_tv;#surprise;"643209876798341120";https://twitter.com/cswildfeuer/status/643209876798341120
